AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
TK;1703;IST;320;40;02.02.2016 13:45;0;02.02.2016 13:43;02.02.2016 13:51;9;10;1;J;159;02.02.2016 13:57;02.02.2016 14:02;6;11;5;
4U;6904;SXF;319;0;02.02.2016 13:45;1;02.02.2016 14:57;02.02.2016 15:01;45;;1;P;0;;;;;;
XQ;972;ADB;73H;111;02.02.2016 13:50;0;02.02.2016 14:00;02.02.2016 14:03;24;31;1;J;189;02.02.2016 14:13;02.02.2016 14:22;11;20;9;
8Q;496;IST;320;90;02.02.2016 13:55;0;02.02.2016 14:17;02.02.2016 14:04;17;;0;J;180;;;;;;
LH;130;FRA;733;64;02.02.2016 13:55;1;02.02.2016 13:55;02.02.2016 13:58;12;11;1;J;139;02.02.2016 14:04;02.02.2016 14:11;7;13;6;
AB;6545;TXL;DH4;53;02.02.2016 14:10;1;02.02.2016 14:07;02.02.2016 14:10;62D;30;1;J;76;02.02.2016 14:23;02.02.2016 14:25;13;15;2;
4U;2965;SPU;319;126;02.02.2016 14:15;0;02.02.2016 14:06;02.02.2016 14:10;41;32;1;J;144;02.02.2016 14:19;02.02.2016 14:21;10;11;1;
AF;1508;CDG;E70;64;02.02.2016 14:20;1;02.02.2016 14:11;02.02.2016 14:14;14*;40;1;J;76;02.02.2016 14:26;02.02.2016 14:29;11;15;4;
AB;8779;VCE;DH4;48;02.02.2016 14:20;1;02.02.2016 14:08;02.02.2016 14:12;61D;30;1;J;76;02.02.2016 14:24;02.02.2016 14:25;12;13;1;
LH;135;FRA;733;53;02.02.2016 14:30;1;02.02.2016 14:42;02.02.2016 14:30;12;;0;J;139;;;;;;
XQ;973;ADB;73H;185;02.02.2016 14:40;0;02.02.2016 15:10;02.02.2016 14:58;24;;0;J;189;;;;;;
4U;2754;VIE;320;68;02.02.2016 14:40;1;02.02.2016 14:48;02.02.2016 14:43;52;;0;J;174;;;;;;
TK;1704;IST;320;91;02.02.2016 14:45;0;02.02.2016 15:15;02.02.2016 15:01;9;;0;J;159;;;;;;
X3;2811;FNC;73H;158;02.02.2016 14:55;1;02.02.2016 14:35;02.02.2016 14:38;17;31;1;J;189;02.02.2016 14:48;02.02.2016 15:01;11;24;13;
AB;6548;TXL;DH4;77;02.02.2016 14:55;1;02.02.2016 14:59;02.02.2016 14:54;62D;;0;J;76;;;;;;
